2.005	1.608	-0.029	0.029
3.724	1.594	-0.033	0.029
6.589	1.571	-0.029	0.033
9.167	1.554	-0.031	0.031
13.177	1.535	-0.033	0.031
17.760	1.510	-0.033	0.033
21.198	1.496	-0.033	0.033
24.922	1.479	-0.035	0.033
30.651	1.450	-0.033	0.033
33.802	1.444	-0.038	0.035
37.240	1.450	-0.038	0.038
41.250	1.440	-0.035	0.042
45.260	1.425	-0.042	0.042
54.714	1.419	-0.048	0.052
60.443	1.394	-0.052	0.052
66.458	1.398	-0.054	0.056
80.495	1.390	-0.069	0.069
88.516	1.377	-0.077	0.073
97.682	1.381	-0.083	0.081
107.422	1.388	-0.098	0.102
