9.536	-1.684	-0.029	0.029
9.626	-1.684	-0.029	0.029
9.740	-1.727	-0.029	0.014
9.843	-1.742	-0.043	0.014
9.938	-1.742	-0.029	0.029
10.047	-1.756	-0.043	0.043
10.143	-1.770	-0.043	0.014
10.245	-1.799	-0.043	0.014
10.340	-1.857	-0.029	0.014
10.436	-1.914	-0.014	0.014
10.545	-1.986	-0.058	0.029
10.640	-2.087	-0.043	0.029
10.743	-2.174	-0.043	0.029
10.838	-2.303	-0.058	0.043
10.940	-2.476	-0.043	0.029
11.036	-2.663	-0.043	0.029
11.138	-2.865	-0.043	0.029
11.240	-3.110	-0.029	0.029
11.343	-3.355	-0.043	0.043
11.438	-3.614	-0.043	0.029
11.540	-3.931	-0.058	0.029
11.643	-4.248	-0.072	0.043
11.738	-4.608	-0.072	0.072
11.840	-5.098	-0.115	0.101
11.943	-5.501	-0.144	0.158
12.038	-5.803	-0.317	0.274
