x	y
0.862	2.303
1.723	2.259
2.585	2.197
4.021	2.147
6.606	2.097
9.765	2.072
12.637	2.066
17.807	2.034
23.551	2.003
29.295	1.987
33.029	1.972
37.624	1.959
41.645	1.941
45.953	1.956
50.548	1.941
55.431	1.953
59.452	1.966
64.334	1.950
67.781	1.909
70.940	1.862
73.238	1.831
78.407	1.859
84.151	1.859
90.183	1.844
95.640	1.828
101.958	1.797
107.702	1.763
109.713	1.772
