9.549	-1.626	-0.043	0.043
9.651	-1.641	-0.058	0.029
9.747	-1.655	-0.043	0.029
9.849	-1.684	-0.043	0.043
9.945	-1.713	-0.058	0.043
10.047	-1.742	-0.058	0.029
10.149	-1.785	-0.058	0.058
10.245	-1.828	-0.043	0.058
10.340	-1.900	-0.058	0.058
10.443	-1.943	-0.072	0.058
10.551	-2.030	-0.058	0.086
10.640	-2.145	-0.058	0.072
10.749	-2.260	-0.058	0.072
10.851	-2.433	-0.043	0.058
10.940	-2.606	-0.043	0.058
11.049	-2.836	-0.043	0.043
11.151	-3.110	-0.043	0.043
11.253	-3.441	-0.043	0.043
11.349	-3.830	-0.043	0.058
11.451	-4.233	-0.072	0.058
11.553	-4.651	-0.043	0.058
11.649	-5.126	-0.288	0.202
11.745	-5.645	-0.475	0.230
11.853	-6.322	-0.230	0.202
11.949	-7.143	-0.432	0.490
