x	y
0.100	0.875
0.116	0.873
0.141	0.871
0.187	0.869
0.202	0.868
0.242	0.863
0.306	0.858
0.377	0.853
0.432	0.849
0.501	0.843
0.602	0.844
0.724	0.834
0.892	0.827
1.047	0.821
1.290	0.816
1.532	0.810
1.754	0.806
1.984	0.798
2.189	0.796
2.415	0.789
2.600	0.783
2.976	0.777
3.284	0.773
3.579	0.765
3.668	0.765
4.047	0.757
4.577	0.749
5.112	0.741
5.437	0.733
5.781	0.731
6.301	0.723
6.538	0.718
6.783	0.717
7.303	0.710
7.959	0.703
8.890	0.692
