rkpc,nrkpc,z0,z1,z2,z3,z4,z5,z6
0.0,0.0,12.908410493525784,12.11599969359307,11.86382229342078,11.333469456668617,11.041688705494433,10.517403091627111,10.145025389372767
0.1001,0.5624818578328793,10.59580255688613,10.451913785999675,10.443758810781526,10.577534310636604,10.430213759834686,10.201915770518575,9.824453889198551
0.2002,0.6689074273948091,10.299524733933804,10.218270213641489,10.199820981481027,10.32143893006836,10.256917287445177,10.029813787398044,9.652043186830241
0.3003,0.7402677558510908,10.108916655003107,10.057293239823526,10.03493312805531,10.133110787580023,10.095880384112595,9.926434041404447,9.586760548660635
0.4004,0.7954694719360731,9.965289678011981,9.920006919770403,9.901639204809094,9.990610090974155,9.947704696695018,9.840047737424172,9.488793185913321
0.500501,0.8411069807022763,9.84882931414788,9.813367466540239,9.79928677412549,9.895291020430014,9.864766111216532,9.76443617792844,9.445068398688962
0.600601,0.8803320487034149,9.750261488665924,9.734563821519664,9.706038062589009,9.789355768340403,9.786445462081913,9.661223750196397,9.410407712386956
0.700701,0.914920132761656,9.664450160792157,9.659653851834108,9.629624649256861,9.71605093435722,9.711829172923155,9.610062598962,9.384500370440248
0.800801,0.9459782511164856,9.588234729155774,9.593513131257197,9.56510487988913,9.656797492102852,9.645881861009805,9.549786495642334,9.361421839911367
0.900901,0.9742474264560247,9.519522176400875,9.525752078440627,9.507457825961207,9.60018195236734,9.584522329792648,9.468019265156789,9.302878333246168
1.001,1.00024990630465,9.45685319976744,9.465284682662123,9.451175245817874,9.54688427936137,9.518674480189684,9.380845936277215,9.268912459451402
1.1011,1.0243696215520257,9.399164722254987,9.40927695068494,9.403652340397658,9.485481488868903,9.450684736616854,9.330750531881217,9.22040883798223
1.2012,1.046896700112108,9.345657948077303,9.357950060755403,9.355388311982477,9.42530591723133,9.393925995364661,9.291331106933608,9.200839576049187
1.3013,1.0680568198185787,9.29571660346598,9.309742994396968,9.308878020127093,9.371479763922364,9.335213121523923,9.267127134164697,9.141703705918687
1.4014,1.08802914334596,9.248853235356593,9.273593839176346,9.26111052631546,9.320104711541635,9.285402004538543,9.233508825727608,9.110657059101083
1.5015,1.1069584864892967,9.204678785829277,9.230331382321696,9.22043500649925,9.275097038052097,9.23752112207099,9.182286214677658,9.075911784820178
1.6016,1.1249637156657586,9.16287195253066,9.188886330695047,9.185425973898951,9.232302213080231,9.191403506645672,9.13749654673033,9.03448006376969
1.7017,1.142143703034968,9.123171911925757,9.14947778394631,9.149132880931855,9.188531960874915,9.154947124263357,9.079137791263127,8.980266135283095
1.8018,1.1585816498079993,9.085358381400646,9.111890627208206,9.112531261722667,9.137341469798677,9.120662739294808,9.036505129347697,8.927834184081393
1.9019,1.174348289662021,9.049241300230577,9.075948236311755,9.075587086889142,9.097434329674265,9.077662198333687,8.991670339037235,8.852287807529455
2.002,1.1895043053582948,9.014659114548673,9.04149925268596,9.04170448192362,9.075565226193516,9.031044703645035,8.922842698563807,8.78969841821769
2.1021,1.2041021810480033,8.981480183947324,9.00840853579341,9.00981620899181,9.040139301565109,8.989626005808642,8.864887060003326,8.730178015024299
2.2022,1.2181876423423135,8.949580749829273,8.976565475007613,8.978141701789022,9.006166439186922,8.947373422333573,8.844616962519142,8.683023625350879
2.3023,1.2318007902569132,8.918857217881722,8.945865284057694,8.94712922080768,8.977659584649405,8.909596145073708,8.826689504766653,8.6549654512355
2.4024,1.2449770044461885,8.8892187404141,8.916221218066944,8.917048923276742,8.947401377017716,8.876002968762036,8.799738142542868,8.627703720962133
2.5025,1.2577476702246908,8.860582953848533,8.887555405586372,8.889517408668906,8.917119369354179,8.840264239224533,8.787742366948642,8.614537623165221
2.6026,1.270140769355433,8.8328785494463,8.86132767811079,8.861361719681678,8.887738219887217,8.805360817410236,8.777207795745232,8.614057330621163
2.7027,1.2821813643390825,8.80604015208462,8.840263596802615,8.83367929579417,8.85761047173188,8.770271606768443,8.760833951354966,8.613478172586088
2.8028,1.293891998597331,8.780011092138576,8.813002889581423,8.808006937627766,8.825197549921635,8.736105553442759,8.72642887256635,8.612785958276241
2.9029,1.305293029610583,8.754739636092847,8.786306976837533,8.780861482726404,8.797861421221288,8.702805219165189,8.701757037273461,8.590147157025905
3.003,1.3164029081457151,8.73017723899536,8.762185465425118,8.753722451942664,8.771594817530126,8.681126307849828,8.680813971027982,8.538269540736446
3.1031,1.3272384137877213,8.70628240281162,8.739451275702475,8.73065149620546,8.749998210437306,8.654988519693617,8.646035931916732,8.455211938150844
3.2032,1.3378148547896183,8.68301641669528,8.717245145429636,8.704527149431696,8.727404603559542,8.616925845885328,8.611863448894407,8.432752878183083
3.3033,1.3481462385826004,8.660343616740716,8.693162188941061,8.68016412640167,8.702942949691705,8.585709945278454,8.583853672268948,8.36178447942987
3.4034,1.3582454180047387,8.638230592019836,8.672514403399635,8.657918808567661,8.679034316575125,8.562416591011658,8.558216430498103,8.328240933298806
3.5035,1.3681242173124966,8.616648768600264,8.649073814082916,8.634646521336563,8.65565122974201,8.538150049875428,8.533135025985194,8.298460069461452
3.6036,1.3777935412632638,8.595571169735761,8.624806843810882,8.613262376183835,8.632766942055184,8.509991076391477,8.508582245900543,8.276330825106154
3.7037,1.3872634699465216,8.574970643381794,8.601075216038437,8.593490970218314,8.610357754806005,8.481793637354851,8.484531887096852,8.254555346707571
3.8038,1.3965433415573516,8.554825785206305,8.580087478128329,8.572221988016608,8.59200234703593,8.452871582207095,8.460959439078186,8.23311548179232
3.9039,1.405641824919914,8.53511426716517,8.562549795585968,8.55252100304704,8.566876858385498,8.42615488310212,8.433929765608463,8.211998370651722
4.004,1.4145669832584535,8.515815580787846,8.54531456003623,8.532222976815309,8.545765924532478,8.403403650664535,8.394581249365986,8.191191053069579
4.1041,1.4233263304629018,8.496911678421492,8.525598028315201,8.511343163707615,8.52504999261164,8.38502860319183,8.36462788962362,8.170684066753234
4.2042,1.43192688089258,8.478384636747354,8.504398824804438,8.490784118565168,8.504711380072077,8.360402175876654,8.35068209581348,8.1504616948453
4.3043,1.4403751935952116,8.460219561508648,8.484251446277986,8.469623213773483,8.484735316557787,8.326067400369611,8.322705035742162,8.12325039651654
4.4044,1.4486774116818695,8.442398233205033,8.46517757797878,8.449987245299111,8.465107623828763,8.301451057129615,8.291311118309128,8.106493471624367
