9.517	-1.648
9.600	-1.648
9.702	-1.677
9.791	-1.677
9.913	-1.691
10.053	-1.735
10.149	-1.778
10.251	-1.821
10.353	-1.907
10.487	-2.051
10.583	-2.181
10.672	-2.340
10.762	-2.512
10.838	-2.671
10.921	-2.872
10.985	-3.045
11.055	-3.261
11.113	-3.449
11.177	-3.693
11.221	-3.881
11.279	-4.126
11.317	-4.342
11.368	-4.572
11.406	-4.802
11.451	-5.076
11.477	-5.263
11.509	-5.537
11.534	-5.767
11.572	-6.012
11.611	-6.228
11.655	-6.488
11.674	-6.704
11.700	-6.949
11.713	-7.193
11.738	-7.481
11.764	-7.683
11.821	-8.000
11.847	-8.158
