x	y
1.015	0.908
1.136	0.904
1.320	0.898
1.557	0.892
1.782	0.888
2.041	0.883
2.372	0.878
2.615	0.870
2.971	0.861
3.401	0.853
3.865	0.843
5.104	0.827
5.887	0.820
6.842	0.814
8.194	0.806
9.813	0.797
11.067	0.792
12.765	0.786
14.947	0.780
19.009	0.775
22.938	0.770
24.728	0.768
28.097	0.764
30.980	0.760
36.276	0.762
39.106	0.763
45.448	0.750
48.995	0.744
60.923	0.729
74.627	0.756
